fold,auc,f1_neg_05,f1_pos_05
1,1.0,1.0,1.0
2,0.9999172938549334,0.9906542056074766,0.9911504424778761
3,0.999751552795031,0.9905660377358491,0.9912280701754386
4,0.9996687370600414,0.9807692307692307,0.9827586206896551
5,0.998840579710145,0.9781659388646288,0.976303317535545
