fold,auc,f1_neg_05,f1_pos_05
1,0.9636082075106466,0.8617886178861789,0.8982035928143712
2,0.9876113046844753,0.9037037037037037,0.9161290322580645
3,0.9742328874901652,0.9243697478991597,0.9467455621301775
4,0.9482690794649882,0.9032258064516129,0.926829268292683
5,0.9193548387096774,0.8524590163934426,0.891566265060241
