fold,auc,f1_neg_05,f1_pos_05
1,0.9266172296756697,0.8354430379746836,0.8677150786308974
2,0.9382193232952578,0.8681983071342201,0.8779395296752519
3,0.9495683780099955,0.8833333333333333,0.8886363636363637
4,0.952228723519669,0.8789115646258503,0.8818061088977424
5,0.9438788233635841,0.8883610451306413,0.8926940639269406
